ID_ESTADO,SG_ESTADO,NM_ESTADO,DT_CADASTRO,NM_USUARIO
1,AC,Acre,2023-10-30,Miron
2,AL,Alagoas,2023-10-30,Miron
3,AP,Amapá,2023-10-30,Miron
4,AM,Amazonas,2023-10-30,Miron
5,BA,Bahia,2023-10-30,Miron
6,CE,Ceará,2023-10-30,Miron
7,DF,Distrito Federal,2023-10-30,Miron
8,ES,Espírito Santo,2023-10-30,Miron
9,GO,Goiás,2023-10-30,Miron
10,MA,Maranhão,2023-10-30,Miron
11,MT,Mato Grosso,2023-10-30,Miron
12,MS,Mato Grosso do Sul,2023-10-30,Miron
13,MG,Minas Gerais,2023-10-30,Miron
14,PA,Pará,2023-10-30,Miron
15,PB,Paraíba,2023-10-30,Miron
16,PR,Paraná,2023-10-30,Miron
17,PE,Pernambuco,2023-10-30,Miron
18,PI,Piauí,2023-10-30,Miron
19,RJ,Rio de Janeiro,2023-10-30,Miron
20,RN,Rio Grande do Norte,2023-10-30,Miron
21,RS,Rio Grande do Sul,2023-10-30,Miron
22,RO,Rondônia,2023-10-30,Miron
23,RR,Roraima,2023-10-30,Miron
24,SC,Santa Catarina,2023-10-30,Miron
25,SP,São Paulo,2023-10-30,Miron
26,SE,Sergipe,2023-10-30,Miron
27,TO,Tocantins,2023-10-30,Miron
